,Unnamed: 0,French,English
0,0,partie,part
1,1,seulement,only
2,2,police,police
3,4,genre,kind
4,5,mois,month
5,6,laisser,let
6,7,car,because
7,9,aucun,no
8,10,laisse,leash
9,11,ville,city
10,13,arrivé,come
11,14,bébé,baby
12,15,longtemps,long time
13,16,heures,hours
14,17,pendant,while
15,20,place,square
16,21,compris,understood
17,22,savais,knew
18,23,étaient,were
19,24,attention,Warning
20,25,voici,here is
21,26,pourrais,could
22,27,affaire,case
23,28,donner,give
24,29,leurs,their
25,30,donné,given
26,31,endroit,place
27,32,trouve,find
28,33,perdu,lost
29,34,première,first
30,35,côté,side
31,37,tellement,so much
32,38,enfant,child
33,39,suite,after
34,40,venez,come
35,41,vers,towards
36,42,minutes,minutes
37,43,demandé,request
38,44,chambre,bedroom
39,45,mis,placed
40,46,belle,beautiful
41,47,droit,law
42,48,aimerais,would like to
43,49,aujourd'hui,today
44,50,mari,husband
45,52,espère,hope
46,53,eau,water
47,54,attendez,Wait
48,56,nouvelle,new
49,58,terre,Earth
50,60,donne,given
51,61,fin,end
52,62,croire,believe
53,63,chérie,sweetheart
54,64,gros,large
55,65,plutôt,rather
